time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-28T08:12:59.680Z,-10.7449,117.2263,10,4.7,mb,,97,3.781,1.08,us,us2000avte,2017-12-22T21:56:26.040Z,"248 km SSE of Praya, Indonesia",earthquake,6,1.9,0.133,17,reviewed,us,us
2017-09-25T22:59:44.190Z,-10.6682,115.85,39.69,4.3,mb,,110,2.752,1.11,us,us2000b0hj,2017-12-22T21:56:22.040Z,"216 km S of Lembar, Indonesia",earthquake,7.5,7.5,0.129,17,reviewed,us,us
2017-09-23T23:54:06.300Z,-9.5364,114.2983,62.22,4.1,mb,,67,1.069,0.32,us,us2000augy,2017-12-19T01:54:15.040Z,"122 km S of Muncar, Indonesia",earthquake,7.1,9.9,0.185,8,reviewed,us,us
2017-08-12T10:17:21.940Z,-9.3793,116.8291,59.36,4.1,mb,,105,2.795,1.49,us,us2000a8tl,2017-10-25T00:38:09.040Z,"96 km SE of Praya, Indonesia",earthquake,9.4,4.5,0.145,13,reviewed,us,us
2017-07-30T13:22:49.480Z,-10.0948,114.9189,52.05,4,mb,,167,1.782,0.41,us,us2000a44v,2017-10-18T01:54:09.040Z,"146 km S of Jimbaran, Indonesia",earthquake,7.9,10.5,0.163,10,reviewed,us,us
2017-06-10T18:50:47.730Z,-9.525,117.5285,72.2,4.1,mb,,103,3.496,0.91,us,us20009my6,2017-08-16T02:42:23.040Z,"114 km S of Sumbawa Besar, Indonesia",earthquake,8.2,9.8,0.135,15,reviewed,us,us
2017-04-30T14:33:48.280Z,-9.8291,114.907,35,4.4,mb,,65,1.542,0.91,us,us10008m7x,2017-07-29T03:16:08.040Z,"118 km SSW of Jimbaran, Indonesia",earthquake,7,2,0.115,22,reviewed,us,us
2017-04-08T11:08:03.910Z,-9.3571,114.4122,83.9,4.3,mb,,94,0.917,1.13,us,us10008h9a,2017-06-23T07:26:36.040Z,"102 km S of Muncar, Indonesia",earthquake,7.1,7.1,0.148,13,reviewed,us,us
2017-04-07T18:25:31.010Z,-9.1344,115.5351,95.69,4.3,mb,,46,1.517,1.14,us,us10008h7i,2017-06-23T07:26:35.040Z,"49 km SE of Nusa Dua, Indonesia",earthquake,7.3,5.8,0.122,19,reviewed,us,us
2017-03-18T01:15:35.260Z,-10.7723,115.1546,10,4.5,mb,,117,2.492,1.11,us,us20008sx7,2017-06-07T00:33:43.040Z,"218 km S of Nusa Dua, Indonesia",earthquake,8.1,1.9,0.102,28,reviewed,us,us
2017-02-19T16:20:33.070Z,-10.6527,115.8822,41.07,4.7,mb,,109,2.759,0.86,us,us100085rm,2017-05-17T01:19:32.040Z,"214 km S of Lembar, Indonesia",earthquake,8.3,6.8,0.079,49,reviewed,us,us
2017-02-19T11:35:38.650Z,-9.1225,116.603,38.16,4.1,mb,,46,2.507,1.21,us,us100085rd,2017-05-17T01:19:32.040Z,"58 km SE of Praya, Indonesia",earthquake,9.1,9.1,0.14,14,reviewed,us,us
2017-02-12T04:25:11.430Z,-9.3531,115.7353,60.51,4.6,mb,,46,1.793,1.03,us,us20008j9y,2017-05-13T01:03:17.040Z,"78 km SSW of Lembar, Indonesia",earthquake,6.8,3.2,0.077,50,reviewed,us,us
2016-12-02T09:11:41.260Z,-9.6358,117.4646,81.64,4.9,mb,,88,3.47,1.12,us,us10007e8e,2017-03-03T07:05:58.040Z,"126 km S of Sumbawa Besar, Indonesia",earthquake,7.7,7.1,0.069,65,reviewed,us,us
2016-11-20T00:18:53.450Z,-9.8443,114.1404,43.96,4,mb,,118,1.365,0.81,us,us10007dn7,2017-02-15T23:21:29.040Z,"157 km S of Muncar, Indonesia",earthquake,6.4,10.3,0.183,8,reviewed,us,us
2016-11-19T18:11:11.290Z,-9.5946,117.8011,63.83,4.4,mb,,88,3.773,1.3,us,us10007alf,2017-02-15T23:21:28.040Z,"128 km SSE of Sumbawa Besar, Indonesia",earthquake,3.6,8.1,0.099,32,reviewed,us,us
2016-11-01T20:53:40.200Z,-9.5747,116.2433,89.25,4.1,mb,,86,2.339,1.09,us,us1000763d,2017-01-24T02:02:14.040Z,"95 km S of Lembar, Indonesia",earthquake,7.7,10.1,0.157,12,reviewed,us,us
2016-10-31T12:10:00.470Z,-9.6057,114.0345,46.42,4.1,mb,,99,1.134,0.74,us,us1000745s,2017-01-24T02:02:12.040Z,"133 km SSW of Muncar, Indonesia",earthquake,7.3,8.4,0.12,19,reviewed,us,us
2016-06-09T02:40:31.870Z,-9.1475,115.8457,92.4,4.2,mb,,78,1.804,0.75,us,us200062z8,2016-08-18T00:36:36.040Z,"52 km SSW of Lembar, Indonesia",earthquake,7.5,7,0.121,19,reviewed,us,us
2016-06-02T18:02:25.430Z,-9.1655,117.9669,107.03,4.4,mb,,60,3.833,1.33,us,us2000603p,2016-08-10T22:30:33.040Z,"88 km SW of Dompu, Indonesia",earthquake,6.8,6.6,0.08,45,reviewed,us,us
2016-04-27T09:13:48.380Z,-9.5262,115.5471,57.42,4.2,mb,,126,1.732,0.68,us,us10005e2n,2016-07-08T02:49:25.040Z,"87 km SSE of Nusa Dua, Indonesia",earthquake,13.4,8.7,0.136,15,reviewed,us,us
2016-01-25T11:03:21.610Z,-10.3125,117.4481,56.53,4.2,mb,,93,3.732,0.6,us,us20004vjv,2016-04-08T23:06:14.040Z,"201 km S of Sumbawa Besar, Indonesia",earthquake,7.9,6,0.159,11,reviewed,us,us
