time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-15T09:16:09.440Z,-8.776,109.1284,37.55,4.3,mb,,101,1.625,0.96,us,us1000e7zi,2018-08-15T19:46:51.040Z,"127 km S of Kroya, Indonesia",earthquake,6.7,19.2,0.177,9,reviewed,us,us
2018-04-26T18:26:54.770Z,-8.133,107.3247,60.37,4.3,mb,,114,2.857,1.09,us,us1000dw1f,2018-07-25T21:37:05.040Z,"104 km S of Banjar, Indonesia",earthquake,11.1,10.3,0.153,12,reviewed,us,us
2018-04-04T17:24:49.000Z,-8.2789,108.2449,42.31,4.2,mb,,100,2.284,1.31,us,us2000dyvf,2018-06-30T01:11:28.040Z,"99 km S of Kawalu, Indonesia",earthquake,8.7,6.7,0.141,14,reviewed,us,us
2018-01-24T18:36:51.270Z,-9.4413,107.2374,10,4.4,mb,,83,1.872,0.58,us,us2000cp8z,2018-04-20T07:05:19.040Z,"249 km S of Banjar, Indonesia",earthquake,8.5,1.9,0.123,19,reviewed,us,us
2018-01-15T14:14:59.790Z,-9.6745,107.5209,10,4.6,mb,,92,2.007,0.42,us,us2000cjnw,2018-04-10T01:11:41.040Z,"264 km SSW of Kawalu, Indonesia",earthquake,4.6,1.9,0.104,28,reviewed,us,us
2018-01-10T13:13:01.600Z,-8.6917,109.1027,24.68,4.4,mb,,76,1.604,0.82,us,us2000cnvn,2018-04-03T01:40:25.040Z,"118 km S of Kroya, Indonesia",earthquake,8.3,5.3,0.12,20,reviewed,us,us
2017-11-12T07:13:23.670Z,-8.1362,107.9169,71.04,4.2,mb,,69,2.59,0.78,us,us2000bscf,2018-02-06T02:45:29.040Z,"89 km SSW of Singaparna, Indonesia",earthquake,5.9,8.9,0.152,12,reviewed,us,us
2017-11-01T05:39:36.680Z,-8.1816,107.2932,55.08,4.6,mb,,56,1.386,0.93,us,us1000azn7,2018-01-24T01:25:03.040Z,"110 km S of Banjar, Indonesia",earthquake,6.6,7.2,0.11,25,reviewed,us,us
2017-09-25T07:16:24.970Z,-8.4217,107.0077,33.74,4.7,mb,,93,1.698,1.03,us,us2000au5i,2017-12-22T21:56:21.040Z,"143 km SSW of Banjar, Indonesia",earthquake,6.8,5.2,0.097,32,reviewed,us,us
2017-09-23T05:07:51.530Z,-8.2415,108.928,65.25,4.4,mb,,67,1.612,1.05,us,us2000athl,2017-12-19T01:54:13.040Z,"75 km SSW of Kroya, Indonesia",earthquake,7.1,5.3,0.12,20,reviewed,us,us
2017-09-05T17:26:58.350Z,-8.0381,107.0476,28.99,4.3,mb,,96,1.331,0.54,us,us2000arp2,2017-12-07T20:00:14.040Z,"102 km SSW of Banjar, Indonesia",earthquake,6,5.6,0.153,12,reviewed,us,us
2017-08-04T00:42:55.900Z,-8.2214,108.0846,88.91,4,mb,,92,1.465,0.76,us,us2000a6cp,2017-10-18T01:54:17.040Z,"93 km S of Kawalu, Indonesia",earthquake,7.3,5.8,0.183,8,reviewed,us,us
2017-08-03T16:14:23.470Z,-8.1608,108.9879,63.18,5,mww,,27,1.54,1.18,us,us2000a467,2022-08-07T13:47:36.347Z,"64 km SSW of Kroya, Indonesia",earthquake,6.7,3.3,0.089,12,reviewed,us,us
2017-07-21T00:25:57.830Z,-8.2853,108.5859,74.92,4.3,mb,,91,1.742,0.89,us,us2000a1bm,2017-10-11T01:03:59.040Z,"91 km SSW of Sidareja, Indonesia",earthquake,6.2,4.6,0.133,16,reviewed,us,us
2017-07-13T09:30:16.810Z,-8.0313,107.0615,58.52,4.6,mb,,102,1.319,1.42,us,us20009y07,2017-10-06T23:56:16.040Z,"101 km SSW of Banjar, Indonesia",earthquake,3,8.7,0.114,23,reviewed,us,us
2017-07-10T17:24:07.340Z,-8.4457,107.7762,56.2,4.3,mb,,84,1.62,1.3,us,us100098ku,2017-10-06T23:56:12.040Z,"126 km SSW of Singaparna, Indonesia",earthquake,6.8,7.7,0.107,25,reviewed,us,us
2017-06-03T03:22:06.330Z,-8.0288,107.9351,69.86,4.4,mb,,91,2.565,0.43,us,us20009lgr,2017-08-15T02:26:52.040Z,"77 km SSW of Singaparna, Indonesia",earthquake,10,11.2,0.219,6,reviewed,us,us
2017-05-30T03:47:16.350Z,-9.5619,107.1004,43.82,4.5,mb,,92,1.693,0.83,us,us20009ky5,2017-08-15T02:26:47.040Z,"264 km S of Banjar, Indonesia",earthquake,6.6,8.5,0.181,9,reviewed,us,us
2017-05-07T00:53:18.690Z,-8.1095,108.5368,88.73,4.1,mb,,130,1.976,1.38,us,us10008rva,2017-08-01T23:02:08.040Z,"74 km SSW of Sidareja, Indonesia",earthquake,10.5,8,0.145,13,reviewed,us,us
2017-05-05T23:17:32.780Z,-8.017,107.8785,62.85,4.3,mb,,147,2.621,1.1,us,us10008rfl,2017-07-29T03:16:24.040Z,"77 km SSW of Singaparna, Indonesia",earthquake,13.9,8.8,0.125,18,reviewed,us,us
2017-05-04T22:13:49.440Z,-9.8718,107.5821,49.18,4.7,mb,,164,3.497,0.72,us,us10008ph8,2017-07-29T03:16:21.040Z,"283 km SSW of Kawalu, Indonesia",earthquake,10.5,5.5,0.074,56,reviewed,us,us
2017-03-15T02:34:02.180Z,-9.2316,109.9965,55.72,4.2,mb,,124,1.41,0.96,us,us20008tsx,2017-06-07T00:33:39.040Z,"145 km SSW of Bambanglipuro, Indonesia",earthquake,5.9,6.5,0.118,20,reviewed,us,us
2017-02-07T08:47:33.560Z,-9.7091,107.1985,40.53,4.6,mb,,102,3.739,0.76,us,us20008kj8,2017-05-09T01:24:29.040Z,"279 km S of Banjar, Indonesia",earthquake,9.9,9.3,0.128,18,reviewed,us,us
2017-02-07T08:25:20.950Z,-9.5538,109.9366,51.56,4.4,mb,,159,1.73,0.8,us,us20008kj2,2017-05-09T01:24:29.040Z,"181 km SSW of Bambanglipuro, Indonesia",earthquake,10.5,7.4,0.202,7,reviewed,us,us
